,name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
266,Flash IV,Male,yellow,Human,Auburn,157,DC Comics,-,good,52
267,Forge,-,brown,-,Black,183,Marvel Comics,-,good,81
268,Franklin Richards,Male,blue,Mutant,Blond,142,Marvel Comics,-,good,45
269,Franklin Storm,-,blue,-,Grey,188,Marvel Comics,-,good,92
270,Frenzy,Female,brown,-,Black,211,Marvel Comics,-,bad,104
271,Frigga,Female,blue,-,White,180,Marvel,-,good,167
272,Galactus,Male,black,Cosmic Entity,Black,876,Marvel Comics,-,neutral,16
273,Gambit,Male,red,Mutant,Brown,185,Marvel Comics,-,good,81
274,Gamora,Female,yellow,Zen-Whoberian,Black,183,Marvel Comics,green,good,77
275,Garbage Man,Male,-,Mutant,-,-99,DC Comics,-,good,-99
276,Gary Bell,Male,-,Alpha,-,-99,SyFy,-,good,-99
277,General Zod,Male,black,Kryptonian,Black,-99,DC Comics,-,bad,-99
278,Genesis,Male,blue,-,Blond,185,Marvel Comics,-,good,86
279,Ghost Rider,Male,red,Demon,No Hair,188,Marvel Comics,-,good,99
280,Ghost Rider II,-,-,-,-,-99,Marvel Comics,-,good,-99
281,Giant-Man,Male,-,Human,-,-99,Marvel Comics,-,good,-99
282,Giant-Man II,Male,-,-,-,-99,Marvel Comics,-,good,-99
283,Giganta,Female,green,-,Red,62.5,DC Comics,-,bad,630
284,Gladiator,Male,blue,Strontian,Blue,198,Marvel Comics,purple,neutral,268
285,Goblin Queen,Female,green,-,Red,168,Marvel Comics,-,bad,50
286,Godzilla,-,-,Kaiju,-,108,,grey,bad,
287,Gog,Male,-,-,-,-99,DC Comics,-,bad,-99
288,Goku,Male,-,Saiyan,-,175,Shueisha,-,good,62
289,Goliath,Male,-,-,-,-99,Marvel Comics,-,good,-99
290,Goliath,Male,-,Human,-,-99,Marvel Comics,-,good,-99
291,Goliath,Male,-,Human,-,-99,Marvel Comics,-,good,-99
292,Goliath IV,Male,brown,-,Black,183,Marvel Comics,-,good,90
293,Gorilla Grodd,Male,yellow,Gorilla,Black,198,DC Comics,-,bad,270
294,Granny Goodness,Female,blue,-,White,178,DC Comics,-,bad,115
295,Gravity,Male,blue,Human,Brown,178,Marvel Comics,-,good,79
296,Greedo,Male,purple,Rodian,-,170,George Lucas,green,bad,-99
297,Green Arrow,Male,green,Human,Blond,188,DC Comics,-,good,88
298,Green Goblin,Male,blue,Human,Auburn,180,Marvel Comics,-,bad,83
299,Green Goblin II,Male,blue,-,Auburn,178,Marvel Comics,-,bad,77
300,Green Goblin III,Male,-,-,-,183,Marvel Comics,-,good,88
301,Green Goblin IV,Male,green,-,Brown,178,Marvel Comics,-,good,79
302,Groot,Male,yellow,Flora Colossus,-,701,Marvel Comics,-,good,4
303,Guardian,Male,brown,Human,Black,-99,Marvel Comics,-,good,-99
304,Guy Gardner,Male,blue,Human-Vuldarian,Red,188,DC Comics,-,good,95
305,Hal Jordan,Male,brown,Human,Brown,188,DC Comics,-,good,90
306,Han Solo,Male,brown,Human,Brown,183,George Lucas,-,good,79
307,Hancock,Male,brown,Human,Black,188,Sony Pictures,-,good,-99
308,Harley Quinn,Female,blue,Human,Blond,170,DC Comics,-,bad,63
309,Harry Potter,Male,green,Human,Black,-99,J. K. Rowling,-,good,-99
310,Havok,Male,blue,Mutant,Blond,183,Marvel Comics,-,good,79
311,Hawk,Male,red,-,Brown,185,DC Comics,-,good,89
312,Hawkeye,Male,blue,Human,Blond,191,Marvel Comics,-,good,104
313,Hawkeye II,Female,blue,Human,Black,165,Marvel Comics,-,good,57
314,Hawkgirl,Female,green,-,Red,175,DC Comics,-,good,61
315,Hawkman,Male,blue,-,Brown,185,DC Comics,-,good,88
316,Hawkwoman,Female,green,-,Red,175,DC Comics,-,good,54
317,Hawkwoman II,Female,-,-,-,-99,DC Comics,-,good,-99
318,Hawkwoman III,Female,blue,-,Red,170,DC Comics,-,good,65
319,Heat Wave,Male,blue,Human,No Hair,180,DC Comics,-,bad,81
320,Hela,Female,green,Asgardian,Black,213,Marvel Comics,-,bad,225
321,Hellboy,Male,gold,Demon,Black,259,Dark Horse Comics,-,good,158
322,Hellcat,Female,blue,Human,Red,173,Marvel Comics,-,good,61
323,Hellstorm,Male,red,-,Red,185,Marvel Comics,-,good,81
324,Hercules,Male,blue,Demi-God,Brown,196,Marvel Comics,-,good,146
325,Hiro Nakamura,Male,-,-,-,-99,NBC - Heroes,-,good,-99
326,Hit-Girl,Female,-,Human,-,-99,Icon Comics,-,good,-99
327,Hobgoblin,Male,blue,-,Grey,180,Marvel Comics,-,bad,83
328,Hollow,Female,blue,-,Red,170,Marvel Comics,-,good,-99
329,Hope Summers,Female,green,-,Red,168,Marvel Comics,-,good,48
330,Howard the Duck,Male,brown,-,Yellow,79,Marvel Comics,-,good,18
331,Hulk,Male,green,Human / Radiation,Green,244,Marvel Comics,green,good,630
332,Human Torch,Male,blue,Human / Radiation,Blond,178,Marvel Comics,-,good,77
333,Huntress,Female,blue,-,Black,180,DC Comics,-,good,59
334,Husk,Female,blue,Mutant,Blond,170,Marvel Comics,-,good,58
335,Hybrid,Male,brown,Symbiote,Black,175,Marvel Comics,-,good,77
336,Hydro-Man,Male,brown,-,Brown,188,Marvel Comics,-,bad,119
337,Hyperion,Male,blue,Eternal,Red,183,Marvel Comics,-,good,207
338,Iceman,Male,brown,Mutant,Brown,173,Marvel Comics,-,good,65
339,Impulse,Male,yellow,Human,Auburn,170,DC Comics,-,good,65
340,Indiana Jones,Male,-,Human,-,183,George Lucas,-,good,79
341,Indigo,Female,-,Alien,Purple,-99,DC Comics,-,neutral,-99
342,Ink,Male,blue,Mutant,No Hair,180,Marvel Comics,-,good,81
343,Invisible Woman,Female,blue,Human / Radiation,Blond,168,Marvel Comics,-,good,54
344,Iron Fist,Male,blue,Human,Blond,180,Marvel Comics,-,good,79
345,Iron Man,Male,blue,Human,Black,198,Marvel Comics,-,good,191
346,Iron Monger,Male,blue,-,No Hair,-99,Marvel Comics,-,bad,2
347,Isis,Female,-,-,-,-99,DC Comics,-,good,-99
348,Jack Bauer,Male,-,-,-,-99,,-,good,-99
349,Jack of Hearts,Male,blue / white,Human,Brown,155,Marvel Comics,-,good,79
350,Jack-Jack,Male,blue,Human,Brown,71,Dark Horse Comics,-,good,14
351,James Bond,Male,blue,Human,Blond,183,Titan Books,-,good,-99
352,James T. Kirk,Male,hazel,Human,Brown,178,Star Trek,-,good,77
353,Jar Jar Binks,Male,yellow,Gungan,-,193,George Lucas,orange / white,good,-99
354,Jason Bourne,Male,-,Human,-,-99,,-,good,-99
355,Jean Grey,Female,green,Mutant,Red,168,Marvel Comics,-,good,52
356,Jean-Luc Picard,Male,-,Human,-,-99,Star Trek,-,good,-99
357,Jennifer Kale,Female,blue,-,Blond,168,Marvel Comics,-,good,55
358,Jesse Quick,Female,-,Human,-,-99,DC Comics,-,good,-99
359,Jessica Cruz,Female,green,Human,Brown,-99,DC Comics,-,good,-99
360,Jessica Jones,Female,brown,Human,Brown,170,Marvel Comics,-,good,56
361,Jessica Sanders,Female,-,-,-,-99,NBC - Heroes,-,good,-99
362,Jigsaw,Male,blue,-,Black,188,Marvel Comics,-,bad,113
363,Jim Powell,Male,-,-,-,-99,ABC Studios,-,good,-99
364,JJ Powell,Male,-,-,-,-99,ABC Studios,-,good,-99
365,Johann Krauss,Male,-,-,-,-99,Dark Horse Comics,-,good,-99
366,John Constantine,Male,blue,Human,Blond,183,DC Comics,-,good,-99
367,John Stewart,Male,green,Human,Black,185,DC Comics,-,good,90
368,John Wraith,Male,brown,-,Black,183,Marvel Comics,-,good,88
369,Joker,Male,green,Human,Green,196,DC Comics,white,bad,86
370,Jolt,Female,blue,-,Black,165,Marvel Comics,-,good,49
371,Jubilee,Female,red,Mutant,Black,165,Marvel Comics,-,good,52
372,Judge Dredd,Male,-,Human,-,188,Rebellion,-,good,-99
373,Juggernaut,Male,blue,Human,Red,287,Marvel Comics,-,neutral,855
374,Junkpile,Male,-,Mutant,-,-99,Marvel Comics,-,bad,-99
375,Justice,Male,hazel,Human,Brown,178,Marvel Comics,-,good,81
